,feature,pattern,code,Include
1,organized_exclusively_charitable,organized exclusively charitable,organized_exclusively_charitable=c('organized exclusively charitable'),n
2,organization_s_mission,organization s mission,organization_s_mission=c('organization s mission'),n
3,internal_revenue_code,internal revenue code,internal_revenue_code=c('internal revenue code'),y
4,c_internal_revenue,c internal revenue,c_internal_revenue=c('c internal revenue'),n
5,inc_mission_provide,inc mission provide,inc_mission_provide=c('inc mission provide'),n
6,section_c_internal,section c internal,section_c_internal=c('section c internal'),n
7,charitable_educational_purposes,charitable educational purposes,charitable_educational_purposes=c('charitable educational purposes'),n
8,exclusively_charitable_educational,exclusively charitable educational,exclusively_charitable_educational=c('exclusively charitable educational'),n
9,corporation_organized_exclusively,corporation organized exclusively,corporation_organized_exclusively=c('corporation organized exclusively'),n
10,improve_quality_life,improve quality life,improve_quality_life=c('improve quality life'),n
11,s_mission_provide,s mission provide,s_mission_provide=c('s mission provide'),n
12,high_school_students,high school students,high_school_students=c('high school students'),y
13,gospel_jesus_christ,gospel jesus christ,gospel_jesus_christ=c('gospel jesus christ'),n
14,exclusively_charitable_purposes,exclusively charitable purposes,exclusively_charitable_purposes=c('exclusively charitable purposes'),n
15,charitable_religious_educational,charitable religious educational,charitable_religious_educational=c('charitable religious educational'),n
16,inc_organization_s,inc organization s,inc_organization_s=c('inc organization s'),n
17,within_meaning_section,within meaning section,within_meaning_section=c('within meaning section'),n
18,educational_scientific_purposes,educational scientific purposes,educational_scientific_purposes=c('educational scientific purposes'),n
19,foundation_inc_provide,foundation inc provide,foundation_inc_provide=c('foundation inc provide'),n
20,meaning_section_c,meaning section c,meaning_section_c=c('meaning section c'),n
21,provide_financial_assistance,provide financial assistance,provide_financial_assistance=c('provide financial assistance'),n
22,foundation_inc_mission,foundation inc mission,foundation_inc_mission=c('foundation inc mission'),n
23,exclusively_charitable_religious,exclusively charitable religious,exclusively_charitable_religious=c('exclusively charitable religious'),n
24,provide_financial_support,provide financial support,provide_financial_support=c('provide financial support'),n
25,inc_corporation_organized,inc corporation organized,inc_corporation_organized=c('inc corporation organized'),n
26,specific_purpose_corporation,specific purpose corporation,specific_purpose_corporation=c('specific purpose corporation'),n
27,purposes_within_meaning,purposes within meaning,purposes_within_meaning=c('purposes within meaning'),n
28,organizations_qualify_exempt,organizations qualify exempt,organizations_qualify_exempt=c('organizations qualify exempt'),n
29,inc_purpose_organization,inc purpose organization,inc_purpose_organization=c('inc purpose organization'),n
30,religious_educational_scientific,religious educational scientific,religious_educational_scientific=c('religious educational scientific'),n
