"","n.train","prediction.class","metric.type","dataset","value","min","max","sd","class.prop"
"1",4000,"Disasterreliefyes","Balanced.Accuracy","Custom",0.513181796038218,0.502480890184245,0.524518668372731,0.00446879933204876,10.0519
"2",4000,"Disasterreliefyes","Balanced.Accuracy","Minimal",0.514904323873611,0.507481856423757,0.528637197359967,0.00398687157270444,10.0713
"3",4000,"Disasterreliefyes","Balanced.Accuracy","Standard",0.514362410388874,0.504266911953571,0.523500642283839,0.00462985706205932,10.0262
"4",4000,"Donatefundsyes","Balanced.Accuracy","Custom",0.519430109272901,0.511289784419871,0.531578406609872,0.00415884087214728,35.06
"5",4000,"Donatefundsyes","Balanced.Accuracy","Minimal",0.520105941947329,0.510249552484077,0.530616803706775,0.00383540798992608,35.0208
"6",4000,"Donatefundsyes","Balanced.Accuracy","Standard",0.519688498985413,0.509021054940142,0.529826526967339,0.00411696449116577,34.9485
"7",4000,"ntmaj10art","Balanced.Accuracy","Custom",0.772729015635686,0.752709281972652,0.791916464739305,0.00870684214836938,20.2458
"8",4000,"ntmaj10art","Balanced.Accuracy","Minimal",0.773889047096896,0.750847100577848,0.793188748043394,0.00855082020526716,20.2753
"9",4000,"ntmaj10art","Balanced.Accuracy","Standard",0.773593419724784,0.749577725126447,0.791839846947873,0.00796611683981785,20.2359
"10",4000,"ntmaj10edu","Balanced.Accuracy","Custom",0.728517722463388,0.703974214666782,0.746336128241046,0.00707310951225557,27.9552
"11",4000,"ntmaj10edu","Balanced.Accuracy","Minimal",0.72551334706944,0.708356592520464,0.743612881737653,0.0067627959393917,27.9301
"12",4000,"ntmaj10edu","Balanced.Accuracy","Standard",0.725906127519422,0.707933326387734,0.752728533750222,0.00792993721335546,27.9745
"13",4000,"ntmaj10env","Balanced.Accuracy","Custom",0.824318537626643,0.801308458160872,0.84281964454958,0.00919577330051834,12.1379
"14",4000,"ntmaj10env","Balanced.Accuracy","Minimal",0.824377942499295,0.796059330557734,0.846720883611367,0.00911733262590458,12.1614
"15",4000,"ntmaj10env","Balanced.Accuracy","Standard",0.822270889048829,0.803623779052383,0.862281113818232,0.00991478905152518,12.1522
"16",4000,"ntmaj10health","Balanced.Accuracy","Custom",0.658594855300261,0.626938069480132,0.704288473026015,0.0144845650100441,14.6869
"17",4000,"ntmaj10health","Balanced.Accuracy","Minimal",0.660418218230094,0.62294209632942,0.699543414992924,0.0146403566887269,14.6625
"18",4000,"ntmaj10health","Balanced.Accuracy","Standard",0.660688530058456,0.624497087105134,0.698184829147546,0.0162805253720311,14.6958
"19",4000,"ntmaj10hserv","Balanced.Accuracy","Custom",0.758832492068855,0.748971528692673,0.766637643143467,0.00365861552149408,78.2614
"20",4000,"ntmaj10hserv","Balanced.Accuracy","Minimal",0.756020061272773,0.745861905003023,0.767413483525744,0.00429641781681015,78.3081
"21",4000,"ntmaj10hserv","Balanced.Accuracy","Standard",0.756608866593854,0.745098152491652,0.762831936037696,0.00341831972336037,78.2199
"22",4000,"ntmaj10int","Balanced.Accuracy","Custom",0.501067523376325,0.499343699515347,0.50843112289837,0.00190818527664947,1.8298
"23",4000,"ntmaj10int","Balanced.Accuracy","Minimal",0.500855567534146,0.498990714574082,0.507941028151049,0.00212748916685804,1.8474
"24",4000,"ntmaj10int","Balanced.Accuracy","Standard",0.50123333839432,0.498991121872478,0.507580899962339,0.00221816054597722,1.8388
"25",4000,"ntmaj10mutual","Balanced.Accuracy","Custom",0.506948401108517,0.499372206318116,0.536855788016427,0.00789355515025741,0.9831
"26",4000,"ntmaj10mutual","Balanced.Accuracy","Minimal",0.506246641357592,0.499171062547099,0.529657566976142,0.00638232629602769,0.9878
"27",4000,"ntmaj10mutual","Balanced.Accuracy","Standard",0.507533165287481,0.499221183800623,0.537165356215369,0.00723841705683341,0.992
"28",4000,"ntmaj10public","Balanced.Accuracy","Custom",0.587057852568157,0.563521930065435,0.608163935965448,0.0090655808541477,28.1722
"29",4000,"ntmaj10public","Balanced.Accuracy","Minimal",0.590872453682297,0.568058704211908,0.614407405476922,0.00932566042865991,28.1354
"30",4000,"ntmaj10public","Balanced.Accuracy","Standard",0.588886592889937,0.567805775944145,0.607710144927536,0.00825975433016811,28.3361
"31",4000,"ntmaj10rel","Balanced.Accuracy","Custom",0.764750424355843,0.73365942573069,0.793060936103818,0.0111591951911822,13.3618
"32",4000,"ntmaj10rel","Balanced.Accuracy","Minimal",0.764341180257183,0.736166946270286,0.785687001656112,0.0102464539783356,13.3351
